Mixture,Mac_CD163,Neu_CD16b,Mac_IL1B,Mono_CCNL1,Mono_IFI30,pDC_LILRA4,Mono_JUN,Neu_CD66b,cDC_CD1C,Mac_CD74_CD49d,Mac_LY6E,Mono_PLBD1,Mono_VCAN,Mono_S100A10,Mono_CYP11B1,Mono_APOC1,Mono_MPO,pDC_JCHAIN,Mac_CD74_MT1X,Mac_TLR4,CD8T_FGFBP2,CD8T_MKI67,CD4T_MAL,CD4T_LTB,CD8T_CD160,CD8T_CD226,gdT_TRGC1_TRDC,CD8T_LEF1,CD8T_LYAR,CD4T_FOXP3,CD8T_IFIT3,CD4T_SF1,CD8T_TYMS,CD8T_CCL5,MAIT_SLC4A10,CD8T_CXCR4,CD4T_ANXA1,CD8T_HAVCR2,CD4T_CD52,CD8T_CD16,NK_NKTR,NK_CD56,NK_ITGB1,NK_GZMH,NK_PRF1,NK_CCL3,NK_IKZF2,NK_CD16,NK_PDCD4,NK_MT1X,NK_IFNG,NK_ADGRG1,NK_CREM,NK_IFI6,NK_HLADRA,B_IgM_IgD_TCL1A,B_IgM_IgD_FOXP1,B_CD24_TXNIP,B_IgM_IgD_CD69,Plasma_IgA_IgG_SDC1,B_CD11c_HLADR,B_CD11b_ANXA2,B_IgM_IgD_FCRL1,B_IgM_IgD_CD24_CD1c,Plasma_IgM_IgA_CD27,B_CD24_IER2,Plasma_IgA_IgG_MKI67,Plasma_IgA_IgG_CD27,Plasma_IgA_IgG_IGLC1,B_CD34,Plasma_IgM_IgA_IgG,P-value,Correlation,RMSE
TARGET.20.PAPWHS.09A,0,0.0290992366939005,0.00159088685168909,0.080219597836136,0,0.0198741531264122,0.124546573470873,0,0.0838913898870951,0,0,0,0.0321297812476828,0.00940710891691292,0.00167943824652962,0.00828672012689641,0.0617198623514733,0,0.0126497738927937,0,0,0.018322458295765,0,0,0.0064658602656102,0,0.0204686051893984,0.0118356296573878,0,0,0.010689000625398,0.0557496767613286,0,0,0,0,0.0222677001026377,0,0.00718326675935297,0.0312868220492464,0.0152493207056949,0,0,0.0740292705881438,0.0366923488434972,0,0.0170554892431903,0,0,0,0.0856781201359065,0,0.00161971184149097,0,0,0.0388937641073101,0.0025424645580665,0,0.00417758617747936,0,0.0177108334399418,0,0,0,0.00290619114916505,0.0379556573342197,0.00883265441738477,0,0,0.00173231349416616,0.00556073160982355,0.001,0.41616852503497,0.914051440049815
TARGET.20.PANVGP.03A,0.0204377135494515,0.0236371549014616,0,0.0151125198803568,0,0.0352791792412209,0.104897955351379,0,0.0535411184140692,0,0,0,0.0119525806555343,0,0.0226992039831266,0,0.0394696160615862,0,0.0125566476145896,0.0594619471189042,0.00357230188475418,0.0122730967935724,0,0.0158057619115982,0.0181272506215241,0,0,0.00784544300352314,0,0,0.0108309389396235,0.0232501223913751,0.000901279915313377,0,0,0,0.0135974739280309,0.0319605584458725,0,0.00689874262917406,0,0.0209876590356391,0.0288093058891152,0,0,0,0,0,0,0.00338871194838367,0,0.0325505519622042,0.0732244812027332,0.0172096909471652,0.0489704728941454,0.0170519340110288,0.0118061277422935,0,0.0482858703270702,0,0.0147414405073768,0.00378676346691794,0,0,0.00717935709905882,0.0845346038070066,0.0259636455184787,0,0,0.00517694959769086,0.0122238268076507,0.025,0.127664959708733,1.05292029348097
TARGET.20.PASBHI.09A,0.0284424541616234,0.0300374427984319,0,0.0174132175381004,0,0.051472354165029,0.0503607123536231,0,0.0352282854554441,0,0,0,0.010476671634445,0.0268719955549434,0.00583978167186841,0,0.0774154686217143,0,0.0285157329669661,0.0253035411648162,0.0119714953932757,0.00304751969347271,0,0.032243852924455,0,0,0,0.00434169438512488,0,0,0.00490054252810972,0,0.00236191585038237,0.0139058756209115,0,0,0.00413807867221335,0.0286643471339388,0,0.0178515475060533,0,0.0107544146437818,0.0338634858154735,0,0,0,0,0,0,0.0067178824705384,0.0315217118965856,0.0337306582489078,0.0588765478649712,0.0359929248650797,0.0165925955870751,0.00919412385386201,0,0,0.0915187735672653,0,0.0213436718964336,0,0,0,0.0101431368359114,0.0653010251616605,0.0247588566246604,0,0.00367844452209892,0.0203199581937021,0.0148872601570502,0.005,0.302771310414231,0.971564394388574
TARGET.20.PASWAJ.09A,0.0047769653031848,0,0,0.197421125396002,0,0.0402391183153008,0.134496273159128,0,0.0185117389721031,0,0.125664865549839,0,0,0,0.0332130360543556,0.0286633269463905,0,0,0.026177870478538,0.0267262799637212,0,0.0190745197602351,0,0.0346611531736321,0.0092965173157725,0.00775619305234131,0.0149885085148881,0.00958558518424987,0,0,0,0.00886903906734005,0,0,0,0.00465836384392415,0,0.00562226276099991,0.0121998140676097,0,0,0,0,0.0072794224408339,0.0290441468121839,0,0,0,0.0106214905033501,0,0.055718545828519,0.0351666645773966,0,0,0,0.010350719550301,0.0122622656499589,0.0381956052971202,0.0054991797549498,0,0.0100013408719173,0,0,0,0,0,0.0232580618339132,0,0,0,0,0.004,0.321638810484318,0.98252703388901
TARGET.20.PASPTM.09A,0.00217900886641104,0.00827597331041601,0.000903441871648605,0.0565126430295189,0,0.036393422585658,0.0735384123660338,0.00057732850623779,0.0290876417332618,0,0,0,0.0763148432762387,0,0,0.00733124843291077,0.0878703626272743,0,0,0,0,0.0181062998684719,0,0,0.000824977410304008,0,0.00640733219605822,0.00117659848711268,0,0,0.0171385792381591,0.0713106252443482,0,0,0,0.00725962155160263,0.038065140420146,0,0.0101439743655572,0.100132548418599,0.017329577914231,0.0011167565236115,0.0108873099672059,0.0937368796114168,0.0142013689072042,0,0.0349735255212284,0,0,0,0,0,0.0409283858132293,0,0,0.0234485920602798,0.031021248596296,0,0,0,0,0.0192315905005133,0,0,0.00156352634591656,0.0409552495668958,0.0143205585014731,0,0,0,0.0067354063645297,0.00600000000000001,0.254494366912001,0.990803925793156
TARGET.20.PANGDN.09A,0.0039888474085223,0,0,0.0624807802827345,0,0.00779656110707315,0.123328697602073,0,0.0573105310403784,0,0.0977344814721829,0,0,0,0.00630112388462973,0.0474646746738219,0.195635450559703,0,0.0348349822251636,0.0261180608922358,0.0167371402633964,0.0162223388818033,0,0.0117660571823351,0.00494356306522565,0,0.0146679592544678,0.00325895839201228,0,0,0,0.00432311557076066,0.0082070335843576,0,0.00443573853190696,0.0126073226816264,0,0,0,0,0,0,0.0242907027667764,0.0333115251088114,0.0417723478365429,0,0.00504799453046105,0,0.00592554041640656,0,0.0608486473505475,0.000190192314249314,0,0,0,0,0,0.00448193412705282,0.039989495866407,0,0.00240572632931893,0,0,0,0.00280720284370601,0.00918911740929031,0.0040814584129914,0,0.000264207499395909,0,0.00523048863163191,0,0.697405696919544,0.717128103703861
TARGET.20.PASWPT.09A,0,0.0484382414774502,0,0.0461114127260182,0,0.0322187653270619,0.120453566525891,0,0.0921452807849549,0,0.0347577041645652,0,0.0242248588808848,0,0,0.00285329250725699,0.233692109783704,0,0.0178367210009381,0.0297033983655165,0.00730935253735108,0.0152931567536208,0.000998631997853497,0,0.00169613097025115,0,0.0215548248842392,8.923367617746e-06,0,0,0.00443760979137897,0.00957642790018317,0,0.00788349341034978,0,0,0,0,0.00334170493033641,0.00617202151397109,0,0.000955213341254539,0.0312019165270146,0,0,0.00590511674018531,0,0,0.00369420586962606,0,0,0.0267474335366692,0.0290494352367192,0,0.00347328850297428,0,0,0.032684492249362,0.0699166328379512,0,0.00694146552672514,0.00293690673301325,0,0,0.00500890664400666,0,0.00566826138079668,0,0,0.0040159730806473,0.0110931221916591,0.001,0.416894231758004,0.949280728725918
TARGET.20.PADZCG.09A,0,0.0301616647778085,0,0,0,0.0352806806967794,0.100719015997639,0,0.0304418730875116,0,0.0067322589590723,0.0931808167787357,0.0648789997855121,0.0782431206630573,0.0588785852735689,0.0209336256227213,0.0392859172670408,0,0.0105701566557819,0,0,0.00549232498830072,0,0,0,0.00572270030350929,0.023802089695095,0.00465751653460202,0,0,0.00255321001714254,0.0311544963953756,0.0141590905178248,0,0,0.018109339290116,0,0.00544916447552753,0,0.00692708780049159,0.00150648558456616,0,0.000347829735759937,0.0210355864399242,0.0132808006953881,0,0.00885271033518989,0.00840990154631831,0,0,0.0136250108917422,0.00190373313649465,0.00894230972944679,0,0.012255730913311,0.000258878722224383,0,0.018485766376195,0.00669080400990411,0,0.004831987918271,0,0.00850635892553118,0,0.0396205503958187,0.0136235863838289,0.0187094649877279,0,0,0.000690416404599278,0.111088351284544,0,0.761315751761742,0.652749634226553
TARGET.20.PASSSI.09A,0.0211496064336974,0,0,0.0531983918480989,0,0.0284250494825193,0.0310307913624015,0,0.0752695050033913,0,0.0382499072075,0,0,0.0146440175755492,0.0290114983685399,0.0142396256552052,0.10477681247144,0.00322619236805436,0.0660377916872301,0.0205565047366752,0,0.000321214633937685,0.00210319352359385,0.00550521946437336,0.00279196372797047,0,0.00537759467174135,0.00486282709828497,0.00908078040857946,0,0.0146782855827571,0,0.0317170618927939,0,0.00519113605342793,0,7.62875873116774e-05,0.019307519123058,0,0.00316350106307064,0,0,0.0225164605598555,0,0.00543704677868509,0.0102698412112614,0.0267441957083778,0,0,0,0.0411006157239893,0.0630782588027962,0.0172323684357846,0,0,0.0172619616603884,0.0100871108057129,0.0238406904074682,0.0479109048166927,0,0.0224842011353172,0,0,0,0.0110975863777393,0.0355110152491339,0.025298524799457,0,0,0,0.0161369384961373,0.001,0.480322275119865,0.878655112323469
TARGET.20.PANYSN.03A,0.043774130993911,0,0,0.130053026814249,0,0.0888171046229628,0.0624874443087913,0,0.0523180318848495,0,0.00378228311241814,0,0,0.0171959477940399,0.0418785766265637,0.00505252247651408,0,0,0.0338676147511086,0.0535238502827332,0,0.0121745502929455,0,0.0199093050104484,0,0,0.016582043895304,0,0.0023275363933505,0,0.0124719199714672,0,0.0210575436296728,0.00911743170141255,0.00274734413167927,0,0,0.0154604499655416,0.000195950363303216,0,0,0,0.0170057014899732,0,0.0108898224358531,0,0.0178608206773666,0,0.00494485591817943,0,0.00223832334320087,0.0395486044087375,0.0317110183309634,0.0062295868147636,0.0204282304401692,0.0274670626516218,0.0498834280414624,0.0125154022181326,0.0133579214359807,0,0.0147350796956607,0,0,0,0.0130609036772204,0.028352026132109,0.020718587450332,0,0,0,0.0242580158150067,0.001,0.390328448921756,0.929192146518752
TARGET.20.PARIZR.03A,0.0158922728512517,0.0146082001747606,0.0267506800028017,0.100610177556074,0,0.0413207231635316,0.0566424099667558,0,0.0700874052552634,0,0,0,0.013338777594572,0,0.0311459922777742,0,0.0726622172607841,0,0,0.0222039768718781,0,0.016567451089465,0.00206800097853302,0,0,0,0,0,0.00140568429948204,0.00312008264770607,0.0255053864659154,0.0524727894014158,0,0.0278166426414618,0.00250177217083238,0.00668684463439184,0,0,0,0.0285688095903562,0.0287382432076745,0.02502252113585,0,0.0444810765115432,0,0,0,0.000397045254186994,0,0.0117337144596755,0,0,0.0467637578287399,0,0.0170862828867819,0.0414206866138391,0.00692735153196534,0.00885077525526958,0.0321971834774549,0,0.0132407025234394,0.0156521340973793,0,0,0.0218260204342944,0,0.00902115466719814,0,0,0,0.0446650532197016,0.00600000000000001,0.220653784130188,1.02064292029752
TARGET.20.PARPDS.09A,0,0.0145651690235025,0.000682610520556625,0.0531503109116318,0,0.09536461562071,0.0227575815187783,0,0,0.00463456543498593,0,0.00275015959627952,0.00583950160671705,0.0289381216100168,0,0.00540882189375408,0.0151461268191144,0,0,0,0,0.0250509320231509,0.00228521687167537,0,0.000640691084836726,0,0,0,0,0,0.0707384721771551,0.0612824118659802,0.0131550312987378,0,0,0.00463211426570622,0,0.00662428463927106,0,0.0580798631929064,0.0216166307192099,0.00771093439109181,0.00558097863388289,0.0402930629091995,0.0315477189809707,0,0.00257496068681296,0,0,0,0,0.0123318981310109,0.0716479760837821,0,0.00769165210988499,0.014019008485451,0,0,0.0196202654649401,0,0,0,0.0083529596621962,0.0378603909002083,0.0646245606787802,0.00807764300207277,0.0606989740521578,0,0,0.0103711332375428,0.0836526498953383,0.001,0.429804298027934,0.910238019468721
TARGET.20.PASGWH.09A,0,0.00614041984828269,0.000807056927619547,0.0895634317268162,0,0.0848044776608094,0.078091212706961,0,0,0,0.0411600346266321,0,0,0.0448730552380288,0,0.000842985730980955,0,0,0,0.000395775515184485,0,0.0338595461257367,0,0,0.00116034133977841,0,0.0168520503766879,0,0,0,0.118987873021376,0.0870826448803168,0,0,0,0,0,0,0.0264940214861677,0.105487782101036,0.0297334179760648,0.00492263669275448,0,0.0544334013480211,0.0339812234573317,0,0.00271848113544012,0,0,0,0.0151692592544446,0,0.0310488328708689,0,0,0,0,0,0.0288878514200508,0.00582828672483226,0,0,0.000415414023537107,0.00912955696239561,0.000411750297326646,0.0227070247225723,0.0240101538019449,0,0,0,0,0.00700000000000001,0.189979458058703,1.00854927690451
TARGET.20.PASZLJ.09A,0.00291592965515219,0.0161101045959057,0.000314757192081343,0.0542734255163039,0,0.0761619701133466,0,0,0.0773854335535744,0.0240484216249609,0,0.0385292430279579,0.0136335477818522,0,0,0.0245851456024678,0,0,0,0,0,0.0252368844958933,0,0,0.0021587501154623,0,0.0188316473190432,0.0204070858736393,0,0,0.0801589782477022,0.0449614768817104,0.0152825761220485,0,0,0.0223612377119285,0.00177021661600835,0,0.0275296119469616,0.0302236270709562,0.0386141420092227,0,0,0.100044517927411,0.0417778890537446,0,0.0846593978250336,0.0205173687081293,0,0,0,0,0,0,0,0.0296052569251799,0,0.0145389322097667,0.0250964650804558,0,0.011111181265577,0,0,0,0.00236745895961627,0,0,0,0,0.00738569048478064,0.0074016284861254,0.00600000000000001,0.247535125223265,0.987504040788191
TARGET.20.PARVAI.03A,0.0101550507495432,0.0172169329955333,0,0.00176602572498475,0,0.0543925462954743,0.0225902359039287,0,0.0283913252332817,0,0.0135244067690422,0,0.0636653656545037,0,0,0,0.134173347701719,0,0.00680743595083374,0,0,0.0598247853882296,0,0,0,0,0.0205554402870474,0.00606118928324125,0,0,0.0254389280293081,0.0554071750368875,0,0,0,0.0293787909103821,0.00757717891133285,0,0.00884310584351393,0.0509045599541053,0.0393131636720749,0,0,0.114364063575832,0.0541926995818311,0,0.0584921651080173,0.00115475266604203,0,0,0,0,0.00949133082715259,0,0,0.0389395857828244,0,0,0,0,0,0.0159519551876452,0,0,0.00907283367815715,0.0143046866324274,0,0,0,0,0.0280489366651031,0.002,0.349499325975511,0.945319336841661
TARGET.20.PANPKN.09A,0,0.00355508749243447,0,0.228725037339249,0,0.00497092089440098,0.157053031314397,0,0.0298544741797845,0,0.0419887737055691,0,0.00693578830571512,0,0,0.0177455027473812,0.103344013548345,0.000872470639322246,0.0323536929837966,0.0528916916681628,0.00494855657181857,0.0288363595908424,0.00225537097549966,0,0,0,0.0122195300437625,0,0,0,0.0099653566064457,0.0304416869142626,0,0,0,0.0245802968928416,0,0,0.0045016207197399,0.0111992234261729,0.0159889166521269,0,0.00878845680122748,0.0548417247234959,0.00613394071283517,0,0,0,0.0090534448066575,0,0,0,0.0376217150311849,0,0,0.00510403943974442,0.00565181022427662,0.023954389491777,0,0,0,0,0,0.0133345312933254,0.00228280644088322,0,0.00137705757879236,0,0,0,0.00662868024372943,0,0.545397471831999,0.843233925476828
TARGET.20.PAKTCX.09A,0,0.00364070784486349,0,0.103633448033946,0,0.0373830035663632,0.113280756942607,0,0.0123638741139674,0,0.0846219529163598,0,0,0,0,0.0263984598256129,0.18982162822463,0,0.0269004558989921,0.0267927058245754,0.019300049619085,0.0100747539237447,0,0.0129084297151342,0.00568354307260912,0,0.025309297811878,0.00966313256854931,0,0,0,0.0148638544743125,0,0,0,0.0182671335609796,0,0.000992868730166448,0.00306157625110927,0,0,0,0.00931003124477176,0.0306189607398027,0.0365143182955856,0,0,0,0.0121547294163018,0,0.0745921927843794,0.00446132769615025,0,0.00718191143964854,0,0.0245824043261969,0.00158807583817286,0,0,0.0062044654660226,0,0.00675916993179546,0.00383011476490785,0.00685501033902914,0,0.0195572461860147,0.0108229229286014,5.48568313319431e-06,0,0,0,0.001,0.426361488830499,0.926397298569288
TARGET.20.PANSBH.09A,0.0260348449744847,0.0124699705637208,0,0.0317657217062298,0,0.164155955178966,0,0,0.03014270800419,0,0.0359708850863133,0,0.00787928172051454,0.0466255434638337,0.020125269325312,0,0.0158744542660339,0,0.0039903783971268,0,0,0.0446931634731498,0,0.0216183466803847,0.00811251062123666,0,0,0.00610924822206795,0,0,0.0224656250697432,0.00472751743764416,0.0372398000210232,0,0.0137964392138157,0,0,0.00468786659297242,0,0,0,0,0.00127677537266434,0,0.0353686792213851,0,0,0,0,0,0.00754205843227408,0.0426612672050966,0.0321253891488738,0.00522703090140763,0.0776697734013843,0.0444643995007297,0.0346730181914879,0,0.000204467452128955,0,0.0105324823676159,0,0,0.00874038987647619,0.00910160858277667,0.043147498087521,0.00584438585698473,0,0,0.0178003158955642,0.0651349304868659,0.001,0.433364628453885,0.901295360007972
TARGET.20.PAMYAS.09A,0.022401525604806,0.0128154926611584,0.000211798831189446,0.0573207044332186,0,0.0373670914713369,0.0328323893346973,0,0.0770060825517521,0,0,0.0241584608454988,0.0552163360224146,0,0,0,0.0561610495381707,0,0.0104060606427695,0,0,0.0119369074985569,0,0,0,0,0.0163935658147668,0.00876921287119,0,0,0.0167604524228818,0.0392798754468899,0.021342263558162,0,0,0.0185511237748718,0.0145327690843208,0,0,0.0576342352973215,0.0235939659105894,0,0.00660206021237207,0.0593823598443239,0.017833566890282,0,0.0258323925008329,0.0175710679462938,0.00335633472803254,0,0,0,0.0256903579450424,0.0132076794948206,0.00083854821786335,0.0347093114404969,0,0.000380904463630916,0.0381295684864853,0,0.0217282155921604,0.0135783027150776,0,0,0.0246131227508223,0.0147776854636754,0.0117929495690062,0,0,0.0190564336667166,0.0362277744555015,0.00900000000000001,0.183830300143643,1.0284894270338
